Roy Scheider
Michael Ironside
Don Franklin
Ted Raimi
Jonathan Brandis
Stephanie Beacham
Stacy Haiduk
John D'Aquino
Royce D. Applegate
Marco Sanchez
Rosalind Allen
Kathy Evison
Michael DeLuise
Peter DeLuise
Edward Kerr
Elise Neal
Tim DeKay
Michael York
Richard Herd
W. Morgan Sheppard
Kent McCord
Dustin Nguyen
Karen Fraction
Ralph Wilcox
